,Parks,Status
0,ALBERT COLLEGE,OFF
1,ALFIE BYRNE ROAD,ON
2,ARDMORE DRIVE,ON
3,ASHINGTON PARK,OFF
4,BALCURRIS,OFF
5,"BEECH HILL, DONNYBROOK",OFF
6,BELCAMP/PRIORSWOOD,OFF
7,BENMADIGAN ROAD,OFF
8,BLUEBELL ROAD,OFF
9,BRICKFIELDS,OFF
10,BUNTING ROAD,OFF
11,BUSHY PARK,OFF
12,CALIFORNIA HILLS,OFF
13,CHERRY ORCHARD,OFF
14,CLONTURK PARK,ON
15,COOLGREENA CLOSE,ON
16,COULTRY PARK,ON
17,CROYDEN GARDENS,ON
18,DARNDALE,OFF
19,DARTRY,OFF
20,DOLPHIN ROAD,OFF
21,DONAGHMEDE PARK,ON
22,DONNYCARNEY ,ON
23,DUNDANIEL OPEN SPACE,ON
24,EDENMORE CRESCENT,ON
25,ELLENFIELD,ON
26,FAIRVIEW,ON
27,FARNHAM CRESCENT,ON
28,FR. COLLINS PARK,OFF
29,GALTYMORE,OFF
30,HERBERT,OFF
31,IRISHTOWN,ON
32,JOHN PAUL PARK,OFF
33,JOHNSTOWN,ON
34,KILDONAN ROAD,OFF
35,KILMORE DRIVE,OFF
36,LE FANU,OFF
37,LEIN ROAD OPEN SPACE,ON
38,MC AULEY,ON
39,MARINO,ON
40,MARKIEVICZ,OFF
41,MARTIN SAVAGE,OFF
42,MELLOWES,ON
43,MILLBROOK/STREAMVILLE,ON
44,MOUNT OLIVE,ON
45,NORTHWAY PARK,ON
46,OSCAR TRAYNOR,OFF
47,PLUNKETT AVENUE,OFF
48,POPPINTREE,PITCH 2 ON
49,POPPINTREE NORTH IKEA,OFF
50,RINGSEND PARK,ON
51,ROCKFIELD PARK,ON
52,ROSEGLEN AVE.,ON
53,SEAN MOORE PARK,ON
54,SPRINGDALE ROAD,ON
55,ST. ANNE'S ,OFF
56,STANNAWAY,ON
57,SUNDRIVE,OFF
58,THE RANCH INCHICORE,OFF
59,TOLKA VALLEY,ON
60,WALKINSTOWN,OFF
61,WILLIE PEARSE,OFF
62,WOODBINE ROAD,ON
